,Recipe_title,servings,ingredients,stars,Num_of_reviews
1188,Carrot Cake Pancakes with Maple-Cream Cheese Drizzle and Toasted Pecans,About 14 pancakes,"['1 1/2 cups all-purpose flour', '4 tablespoons pure cane sugar', '1 teaspoon baking powder', '1 teaspoon pumpkin pie spice', '1/2 teaspoon baking soda', '1/2 teaspoon fine sea salt', '2 large eggs', '1 1/2 cups buttermilk', '3 tablespoons unsalted butter, melted and cooled', '1/2 teaspoon pure vanilla extract', '1 cup packed finely grated peeled carrots, patted dry on paper towels (about 3 medium carrots)', '1 teaspoon finely grated orange zest, optional', '1 tablespoon finely diced candied ginger', '1/4 cup finely chopped toasted pecans or walnuts, optional, plus more for garnish', 'Cooking spray or melted butter', '8 ounces softened cream cheese', '1/2 cup grade B pure maple syrup', '4 tablespoons butter']",5,8
1189,Grilled Banana Pound Cake with Chocolate Sauce,6 to 8 servings,"['Nonstick cooking spray', '1 cup (2 sticks) unsalted butter, room temperature\xa0', '2 cups light brown sugar\xa0', '1 cup granulated sugar, plus more for dusting pan', '6 eggs\xa0', '1 1/4 cups mashed ripe banana (about 2 bananas)\xa0', '1 1/2 teaspoons vanilla extract\xa0', '1/2 teaspoon lemon extract\xa0', '1/2 teaspoon baking soda\xa0', '3 cups flour\xa0', '1 cup sour cream\xa0', 'Pinch of kosher salt\xa0', '1 1/3 cups heavy cream', '1 cup honey\xa0', '2/3 cup dark brown sugar\xa0', '1/2 cup Dutch-processed cocoa powder\xa0', '2 cups semisweet chocolate chips', 'Big pinch of salt\xa0', '4 tablespoons unsalted butter\xa0', 'Unsalted butter, melted, for serving\xa0']",4,11
1190,Raspberry-Coconut Chocolate Cake with Marbled Fondant,12 to 16 servings,"['Cooking spray', '4 cups all-purpose flour, plus more for dusting', '3 1/2 cups granulated sugar', '1 1/2 cups unsweetened dark cocoa powder', '2 teaspoons baking powder', '2 teaspoons baking soda', '1 teaspoon kosher salt', '2 cups whole milk', '1 cup vegetable oil', '4 large eggs', '1 teaspoon pure vanilla extract', '1 teaspoon coffee extract', '1/2 cup canned unsweetened coconut milk', '2 tablespoons sweetened condensed milk', '1/2 cup raspberries', '4 sticks unsalted butter, at room temperature', '6 cups confectioners? sugar', 'Grated zest of 1/2 lemon, plus 1 tablespoon lemon juice', ""Confectioners' sugar, for dusting"", '1 1/2 pounds white fondant', '6 ounces each blue, pink, green and yellow fondant (or other desired colors)']",,
1191,Dulce de Leche Coffee Cake with Cornflake Crumbs,8,"['3/4 cup all-purpose flour', '2/3 cup lightly crushed cornflakes', '2/3 cup packed light brown sugar', '1 teaspoon ground cinnamon', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more, for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '2/3 cup dulce de leche']",,
1192,Chocolate Cupcakes with Salted Caramel Frosting and Chocolate Fudge Filling,24 cupcakes,"['2 1/4 cups granulated sugar', '1/2 cup plus 1 tablespoon salted butter', '2 tablespoons vegetable oil', '4 large eggs', '1 tablespoon Madagascar vanilla extract', '2 3/4 cups cake flour', '1 1/2 teaspoons baking soda', '1/2 teaspoon sea salt', '3/4 cup milk', '3/4 cup unsweetened cocoa powder', '3/4 cup hot water', '1/2 cup salted butter', '1/2 cup unsweetened cocoa powder', '1/2 cup hot water', '4 cups powdered sugar']",3.5,6
1193,The Puffy,2 1/2 dozen cookies,"['1 cup butter-flavored shortening', '3/4 cup sugar', '1 cup brown sugar', '2 1/4 cups cake flour', '1 teaspoon kosher salt', '1 1/2 teaspoons baking powder', '2 eggs', '1 1/2 teaspoons vanilla extract', '2 cups semisweet chocolate chips', 'Ice cream scooper (#20 disher, to be exact)', 'Parchment paper', 'Baking sheets', 'Mixer']",4.5,133
1194,Pumpkin Caramel Skillet Cake with Maple Glaze,One 12-inch cake,"['1/2 packed cup brown sugar', '1/4 cup half-and-half', '2 tablespoons butter', 'Pinch salt', '2 teaspoons vanilla extract', '1/2 cup butter (1 stick), at room temperature, plus additional for greasing the skillet', '2 1/2 cups all-purpose flour', '2 teaspoons pumpkin pie spice', '1 teaspoon baking powder', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 1/2 cups granulated sugar', '1 cup pure pumpkin filling (not pumpkin pie filling)', '1 large egg', '1 teaspoon vanilla extract', '1/2 cup pure maple syrup', '2 tablespoons butter', ""1 cup sifted confectioners' sugar""]",,
1195,Eyeball Mini Cakes,24 cupcakes,"['1 1/2 cups of sugar', '5 ounces (10 tablespoons) unsalted butter, room temperature', '1 1/2 teaspoons ground cinnamon, freshly grated nutmeg, and ground cloves, mixed', '2 teaspoons baking powder', '1 teaspoon salt', '1 1/2 cups all-purpose flour', '1 cup pastry flour', 'Splash vanilla extract', '6 egg whites', '3/4 cup pureed pumpkin', '1 1/2 cups mini chocolate chips', 'White, Red, Blue and Black Buttercream, recipe follows', '10 egg whites', '15 ounces granulated sugar', '2 1/2 pounds unsalted butter, room temperature', 'Red and blue food coloring']",4.5,16
1196,Strawberry and Brownie Ice Cream Cake with Chocolate Ganache,8 servings,"['3/4 cup heavy cream', '8 ounces bittersweet chocolate, chopped', 'Unsalted butter, for the pan', '8 to 10 brownies (2 1/2-inch squares)', '1 quart strawberry ice cream, softened']",5,1
1197,Granny's Old Fashioned Pudding Cake Vigilante,"One 9-by-13-inch cake, about 15 slices","['1 box vanilla cake mix', '1 small box vanilla pudding mix', '1 cup buttermilk', '1/2 cup vegetable oil', '3 eggs', 'Zest of 1 lemon', 'Juice of 1/2 lemon', 'Juice of 1/2 lime', '2 cups powdered sugar', '1 stick unsalted butter', '1/4 cup buttermilk', 'Zest of 1 lemon', 'Zest of 1 lime', 'Juice of 1/2 lemon']",5,7
1198,Sweet Potato Layer Cake with Spiced Pecan Buttercream,10 to 12 servings,"['2 1/2 cups pecan halves', '1/3 cup packed dark brown sugar', '2 tablespoons ground cinnamon', '2 teaspoons ground nutmeg', '5 tablespoons unsalted butter, melted', '2 tablespoons dark rum', '2 pounds sweet potatoes', '4 large eggs', '2 cups sugar', '1 cup canola oil', '2 cups cake flour', '2 teaspoons baking powder', '1 teaspoon salt', '1 tablespoon ground cinnamon', '1 teaspoon ground nutmeg', '1 teaspoon ground ginger', '2 teaspoons pure vanilla extract', '3 tablespoons rum', '1 1/4 cups chopped Spiced Pecans', '6 large egg yolks', '3/4 cup sugar', '1/2 cup light corn syrup', '1 pound unsalted butter, room temperature', '1 tablespoon vanilla extract', '1/8 teaspoon salt', '3/4 cup Spiced Pecans', '1/2 cup chopped Spiced Pecans']",4.5,8
1199,Coconut Mug Cake with Coconut Whipped Cream and Tropical Fruit,2 cakes,"['1/3 cup sweetened flake coconut', '3 strawberries, cut into small dice\xa0', '1 Champagne mango, cut into small dice\xa0', '1 kiwi fruit, cut into small dice\xa0', '1 teaspoon honey\xa0', '1/2 teaspoon lime zest plus 1 teaspoon lime juice\xa0', '2 tablespoons unsalted butter, melted, plus more for buttering the mugs', '1 egg, beaten\xa0', '1/2 teaspoon vanilla extract\xa0', '1/3 cup cream of coconut\xa0', '1 tablespoon sour cream\xa0', '6 tablespoons self-rising flour, plus more for dusting the mugs', '1/2 cup heavy cream', '3 tablespoons cream of coconut\xa0']",5,3
1200,Coconut Layer Cake,12 servings,"['6 egg whites', '12 tablespoons cool unsalted butter, cut into pieces', '1 cup sugar', '1 teaspoon pure vanilla extract', '1 teaspoon pure coconut or almond extract', '3 cups sifted cake flour', '1 1/2 tablespoons baking powder', '1 cup milk', '2 egg whites', '6 tablespoons cold water', '1 1/2 cups sugar', '1/2 teaspoon cream of tartar', '1 teaspoon pure vanilla extract', '2 to 3 cups sweetened shredded or flaked coconut']",3.5,4
1201,Applesauce Pancakes,6 servings,"['3 cups cake flour', '3 tablespoons sugar\xa0', '2 tablespoons baking powder\xa0', '1 teaspoon salt\xa0', '2 1/2 cups milk, plus more if needed', '2 cups Applesauce, recipe follows', '1 tablespoon vanilla\xa0', '1/4 teaspoon cinnamon\xa0', '2 eggs\xa0', 'Butter, for cooking and serving\xa0', 'Maple syrup, warmed, for serving\xa0', '6 pounds mixed apple varieties (Gala, Honeycrisp, Golden Delicious), peeled, cored and cut into eighths', '1 cup apple juice or water\xa0', 'Juice of 1/2 lemon\xa0', '1/2 cup light brown sugar\xa0', '1 teaspoon cinnamon\xa0']",4.5,20
1202,Double-Chocolate Glazed Doughnuts,12 doughnuts,"['Nonstick spray', '1 tablespoon ground flax meal\xa0', '1/2 cup almond milk\xa0', '1/4 cup grapeseed oil\xa0', '1/3 cup agave\xa0syrup', '1 teaspoon pure vanilla extract\xa0', '1 cup cake flour\xa0', '1/4 cup unsweeteend cocoa powder\xa0', '2 teaspoons baking powder\xa0', '1/2 teaspoon baking soda\xa0', '1 teaspoon fine salt\xa0', '1/3 cup vegan mini chocolate chips\xa0', '1/2 cup vegan mini chocolate chips', '1 tablespoon grapeseed oil\xa0', 'Sprinkles, for decorating\xa0']",4.5,5
1203,"Chocolate, Chocolate Mousse Layer Cake with Vanilla Bean Ice Cream",10 to 12 servings,"['8 eggs', '1 cup plus 2 tablespoons sugar', '1/3 cup unsweetened cocoa powder', '1 cup bleached flour', '2 tablespoons butter', ""1 pound confectioners' sugar"", '1/2 cup unsweetened cocoa powder', '1 stick butter, at room temperature', '1 teaspoon pure vanilla extract', '1/3 cup boiling water', '2 cups heavy cream', '8 ounces semisweet chocolate, melted', '3/4 cup simple syrup, (equal amounts sugar and water, simmered until sugar dissolves)', '3 ounces semisweet chocolate, shaved into curls', '10 to 12 scoops vanilla bean ice cream', '1 teaspoon baking powder']",,
1204,Chocolate Reindeer Cake,8 servings,"['Cooking spray, for the pan', '1 cup unsweetened cocoa powder (natural or Dutch process)', '2 1/2 cups all-purpose flour', '2 cups sugar', '1 1/2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon kosher salt', '3 large eggs, at room temperature', '3/4 cup vegetable oil', '1/2 cup sour cream', '2 teaspoons vanilla extract']",5,2
1205,Flan Cupcakes,18 cupcakes,"['1 1/2 cups granulated sugar', '4 large eggs', 'One 8-ounce package cream cheese', 'One 14-ounce can sweetened condensed milk', 'One 12-ounce can evaporated milk', '2 1/2 cups cake flour', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon fine salt', '1 stick unsalted butter, at room temperature', '1 1/2 cups granulated sugar', '3 large eggs', '1 teaspoon vanilla extract', '1 1/4 cup milk']",4.5,5
1206,TV Dinner Cake,8 to 10 servings,"['Nonstick baking spray, for the pan', ""One 15.25-ounce box devil\\'s food cake mix (plus required ingredients)\\xa0"", '1 cup white vanilla frosting\\xa0', '4 lemon candy chews\\xa0', '1 cup lime green candy-coated chocolates\\xa0', '1/4 cup mini orange candy chews\\xa0', '1 cup caramel sauce\\xa0', '6 crisp rice marshmallow treats\\xa0', '1/2 cup cocoa powder\\xa0']",,
1207,Funnel Cake with Blueberry Marmalade,6 to 8 servings,"['4 cups blueberries', '1 cup granulated sugar\xa0', 'Neutral cooking oil, for frying\xa0', '1 cup heavy cream', '1 cup Greek yogurt\xa0', '1/4 cup granulated sugar\xa0', '2 large eggs', '1/2 cup buttermilk\xa0', '1/2 cup whole milk\xa0', '1 vanilla pod, split and scraped\xa0', '3 cups all-purpose flour\xa0', '1/4 cup granulated sugar\xa0', '3 teaspoons baking powder\xa0', '1/4 teaspoon kosher salt\xa0', 'Powdered sugar, for garnish\xa0']",,
1208,Chocolate Hazelnut Decadence Cake Pop,24 servings,"['1 pound dark chocolate, melted', '2 ounces granulated sugar\xa0', '1 ounce cocoa powder\xa0', '3 ounces hot brewed espresso', '1 stick (4 ounces) unsalted butter, cubed\xa0', '2 large eggs', '2 vanilla beans, split and scraped\xa0', '250 grams milk chocolate', '600 grams hazelnut praline paste\xa0', '300 grams feuilletine flakes\xa0', '2 sticks (8 ounces) unsalted butter, softened', ""8 ounces confectioners' sugar\xa0"", '2 vanilla beans, split and scraped', '1/4 cup raspberry puree\xa0', '12.5 ounces semisweet chocolate chips']",,
1209,Waving Flag Cake,24 servings,"['Two\\xa08-ounce\\xa0packages\\xa0cream cheese, softened', ""1 1/3 cups\\xa0confectioners\\'\\xa0sugar\\xa0"", '2\\xa0tablespoons\\xa0vanilla extract\\xa0', '2\\xa0quarts\\xa0heavy whipping cream\\xa0', 'Blue gel food coloring, for the frosting\\xa0\\xa0', 'Red gel food coloring, for the frosting\\xa0\\xa0', 'Three fifteen-ounce 8-inch\\xa0angel food cakes\\xa0', '1 pint strawberries, diced\\xa0', '1\\xa0pint blueberries']",,
1210,Chocolate Black-out Cake with Ganache Drizzle,4 stacked measuring cup cakes,"['6 tablespoons butter', '1 cup coffee', '1 cup minus 2 tablespoons buttermilk', '2 eggs', '1 1/2 cups plus 2 tablespoons sugar', '1 cup plus 4 tablespoons cake flour', '1 teaspoon salt', '1/2 cup cocoa powder', '1 teaspoon baking powder', '1 3/4 teaspoons baking soda', '2 teaspoons vanilla extract', '2/3 cup heavy cream', '7 ounces bittersweet chocolate, chopped', '1 pound block white chocolate']",4.5,11
1211,Chocolate Hazelnut Lava Cakes,8 servings,"['4 ounces semisweet chocolate', '1/2 stick butter', '2 cups powdered sugar', '4 eggs', '1 tablespoon hazelnut extract', '3/4 cup all-purpose flour', 'Nonstick spray', '1 tablespoon hazelnut liqueur', 'Nutella', 'Vanilla ice cream', 'Chocolate shavings']",5,7
1212,Red and Blue Velvet Cake,12 servings,"['Nonstick cooking spray', '2 1/2 cups sifted all-purpose flour (x2)', '1 teaspoon unsweetened cocoa powder (x2)', '1/2 teaspoon fine salt (x2)', '1 cup buttermilk (x2)', '1 tablespoon vanilla extract (x2)', '1 1/2 cups sugar (x2)', '1/2 cup vegetable shortening (x2)', '2 large eggs (x2)', '1 teaspoon baking soda (x2)', '1 teaspoon white vinegar (x2)', '2 ounces red food coloring, plus 2 ounces blue food coloring\xa0', 'Boiled Icing, recipe follows', '3/4 cup milk', '1/4 cup all-purpose flour\xa0', '1 cup sugar\xa0', '1 stick (8 tablespoons) unsalted butter\xa0', '1/2 cup vegetable shortening\xa0', '1 teaspoon vanilla extract', '1/8 teaspoon fine salt\xa0']",,
1213,Mint Patty Cakes,24 cupcakes,"['3 sticks unsalted butter, cut into pieces', '1 cup Dutch-process cocoa powder', '3 1/4 cups packed dark brown sugar', '3 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '3/4 teaspoon salt', '11/4 cups buttermilk', '2 large eggs, at room temperature', '2 teaspoons vanilla extract', ""1 1-pound box confectioners' sugar (about 4 cups)"", '1/2 cup light corn syrup', '1/4 cup vegetable shortening or cocoa butter, softened', '2 teaspoons peppermint extract', '8 ounces bittersweet chocolate, finely chopped', '1/4 cup light corn syrup', '1 1/2 tablespoons unsalted butter']",4,10
1214,Snickerdoodle Rum Igloo Cake,16 to 20 servings,"['Nonstick cooking spray, for the pans', '1 1/2 cups all-purpose flour\xa0', '1 1/2 cups cake flour\xa0', '1 tablespoon ground cinnamon\xa0', '1 tablespoon baking powder\xa0', '1/2 teaspoon kosher salt\xa0', '2 sticks unsalted butter, at room temperature\xa0', '1 3/4 cups sugar\xa0', '4 large eggs\xa0', '1 1/2 teaspoons vanilla extract\xa0', '1 cup milk\xa0', '1/4 cup spiced rum\xa0', '12 ounces white melting candies', '1/3 cup coconut oil\xa0', '8 ounces black gum paste\xa0', '2 ounces white gum paste\xa0\xa0', 'Cornstarch, for dusting\xa0', '1 tablespoon vodka\xa0', '4 pieces orange melting candies\xa0\xa0', '2 striped sour belts\xa0\xa0', '4 orange chocolate-covered sunflower seeds\xa0', 'Black edible marker, for the eyes\xa0', 'Country Bling 7-Minute Frosting, recipe follows']",,
1215,Skillet Gingerbread Cake with Eggnog Royal Icing,8 servings,"['4 tablespoons (1/2 stick) unsalted butter, at room temperature, plus more for the pan', '1 cup all-purpose flour, plus more for the pan', '2 tablespoons finely chopped crystallized ginger', '1/2 teaspoon baking soda\xa0', '1/4 teaspoon salt\xa0', '3/4 teaspoon ground ginger\xa0', '3/4 teaspoon ground cinnamon\xa0', '1/8 teaspoon ground cloves\xa0', '1/4 cup light brown sugar\xa0', '2 tablespoons granulated sugar\xa0', '1/3 cup unsulfured molasses\xa0', '1/2 cup milk, at room temperature\xa0', '1 large egg', '1 teaspoon grated orange zest\xa0', '1 1/4 cups powdered sugar, divided', '1/2 large egg white\xa0', '1 teaspoon dark rum\xa0', '1 teaspoon bourbon\xa0', '1 1/2 teaspoons vanilla extract\xa0', '1/4 teaspoon grated nutmeg\xa0', '1 pinch ground cloves\xa0', '1/8 teaspoon kosher salt\xa0', 'Pinch cream of tartar\xa0', '2 tablespoons heavy cream\xa0']",5,9
1216,Raspberry Pound Cake with Vin Santo Cream,6 to 8 servings,"['Pound cake', '1 1/2 cups all-purpose flour, plus more for dusting the loaf pan', '1 teaspoon baking soda', '2 teaspoons orange zest (from 1 medium orange)', '1/2 teaspoon ground cinnamon', '1/2 teaspoon salt', '1 1/3 cups sugar', '1/2 cup (1 stick) unsalted butter, at room temperature, plus more for greasing loaf pan', '3 eggs', '1 teaspoon vanilla extract', '1 (10-ounce) bag sweetened, frozen raspberries, thawed and drained', '1 cup heavy whipping cream', '1/2 teaspoon vanilla extract', '3 tablespoons powdered sugar', '3 tablespoons Vin Santo wine or Moscato wine']",3.5,24
1217,Prune Cake with Buttermilk Topping,9 by 13-inch cake,"['2 cups flour', '1 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon ground cinnamon', '1 teaspoon ground nutmeg', '1/4 teaspoon ground allspice', '2 cups sugar', '1 cup vegetable oil', '1 cup buttermilk', '1 teaspoon vanilla extract', '3 eggs', '2 cup seedless prunes, cut in quarters', '1 cup chopped walnuts', '1/3 cup sugar', '1/3 cup buttermilk', '2 tablespoons unsalted butter', '1/4 teaspoon baking soda', 'Juice of 1/2 lemon']",4.5,15
